family,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Polycentridae,0,0,1,1,0,0,1,0,0,0,1
Polymixiidae,1,0,0,0,0,0,0,0,0,0,0
Polynemidae,1,1,1,0,0,1,0,0,1,1,1
Polyodontidae,1,0,0,0,0,0,0,0,0,0,0
Polyprionidae,1,1,1,0,0,0,0,0,0,0,0
Polypteridae,1,0,1,1,1,1,1,1,1,0,0
Pomacanthidae,1,0,1,1,1,1,1,1,0,1,1
Pomacentridae,1,1,1,1,1,1,1,1,1,1,1
Pomatomidae,1,0,0,0,0,0,0,0,0,0,0
Potamotrygonidae,1,0,1,1,1,0,0,0,0,0,0
Priacanthidae,1,1,1,0,0,0,0,1,1,0,0
Pristidae,1,0,0,0,0,0,0,0,0,0,0
Pristigasteridae,1,0,0,0,0,0,0,0,0,0,1
Pristiophoridae,1,0,0,0,0,0,0,0,0,0,0
Pristolepididae,1,0,0,0,0,0,0,1,0,0,0
Prochilodontidae,1,0,1,0,0,1,0,1,0,0,0
Profundulidae,1,0,1,1,1,1,0,0,0,0,0
Proscylliidae,0,0,1,0,0,0,0,0,0,0,0
Protanguillidae,1,0,0,0,0,0,0,0,0,0,0
Protopteridae,0,1,1,0,1,0,0,0,0,0,0
Psettodidae,1,0,0,1,0,0,0,0,0,0,0
Pseudaphritidae,0,0,1,0,0,1,0,0,0,0,0
Pseudocarchariidae,1,0,0,0,0,0,0,0,0,0,0
Pseudochromidae,1,1,1,1,1,1,1,1,0,1,1
Pseudogrammatidae,0,0,0,1,0,0,0,0,0,1,0
Pseudomugilidae,1,0,1,1,1,1,0,0,0,0,0
Pseudopimelodidae,0,1,1,0,0,0,0,1,1,0,0
Pseudoplesiopidae,1,0,0,0,0,0,0,0,0,0,0
Pseudotriakidae,1,0,0,0,0,0,0,0,0,0,0
Pseudotrichonotidae,0,0,1,0,0,1,0,1,0,0,0
Psilorhynchidae,0,1,1,0,0,1,0,0,1,0,0
Psychrolutidae,1,1,1,1,0,0,0,1,1,0,1
Pterothrissidae,1,0,0,0,0,0,0,0,0,0,0
Rachycentridae,0,0,0,0,0,1,0,0,0,0,0
